1.0 0.0 2.8561935323523358e-05 [[ 0.51114464  0.50315702  0.45849434  0.47740173  0.48671705  0.50230056 0.53232074  0.46452707  0.47582281  0.46563727  0.50505638  0.48409238 0.45526895  0.49088246  0.51164579  0.49314064  0.47953573  0.50236249 0.50234878  0.5004521   0.5093407   0.48274475  0.46742448  0.47560644]] 
1.0 0.0 2.9161110433051363e-05 [[ 0.51115495  0.50316852  0.45850107  0.477364    0.48675779  0.50233179 0.53232104  0.46450984  0.47582984  0.46564224  0.50505513  0.48406851 0.45526686  0.49086979  0.51164854  0.49313673  0.4795264   0.50233167 0.50233221  0.50050056  0.50935578  0.48274475  0.46740985  0.47559419]] 
1.0 0.0 2.9760285542579368e-05 [[ 0.51115638  0.50317979  0.45849434  0.47740614  0.48674172  0.50233114 0.53233165  0.46452621  0.47582942  0.46564907  0.50506902  0.48405385 0.45525262  0.49084952  0.51163161  0.49315628  0.47954121  0.50232887 0.50234085  0.50047535  0.50934529  0.4827345   0.46741509  0.47560021]] 
1.0 0.0 3.0359460652107373e-05 [[ 0.51113951  0.50313175  0.45846143  0.47742692  0.48666787  0.50233388 0.53234005  0.46451718  0.47578648  0.46561959  0.50499082  0.48408806 0.45528156  0.49087417  0.51160586  0.49314785  0.47955397  0.5023616 0.50231189  0.50047749  0.50930041  0.4827334   0.46735513  0.4755795 ]] 
1.0 0.0 3.085884964093566e-05 [[ 0.51112235  0.50311899  0.45847458  0.47739914  0.48668584  0.50233924 0.53232992  0.46452028  0.47579786  0.46561217  0.50499034  0.48408329 0.4552792   0.49087858  0.51161039  0.49314541  0.47953254  0.50237936 0.50234073  0.50049073  0.50932777  0.48274624  0.46733388  0.47557884]] 
1.0 0.0 3.135827137157321e-05 [[ 0.51113683  0.50314927  0.4584505   0.47741932  0.48666966  0.50231844 0.53232521  0.46450517  0.47582209  0.46560037  0.50498432  0.48404524 0.45528546  0.49086234  0.51160967  0.49311662  0.47952986  0.5023818 0.50234169  0.50049293  0.50933927  0.4827328   0.46736655  0.4755964 ]] 
1.0 0.0 3.185769310221076e-05 [[ 0.51111913  0.50315279  0.45842934  0.47743586  0.48667231  0.50233138 0.53231633  0.46450856  0.47581971  0.46560019  0.50498229  0.48403978 0.45526257  0.49087253  0.51161677  0.49312007  0.4795543   0.50238538 0.50233686  0.50051802  0.50933522  0.48273012  0.46736357  0.47558537]] 
1.0 0.0 3.235711483284831e-05 [[ 0.51114726  0.50313789  0.45846209  0.47736391  0.48669133  0.50234371 0.53236604  0.46453691  0.47577733  0.46559605  0.50494653  0.48401821 0.45530167  0.49090466  0.5116266   0.49317682  0.47955397  0.50235355 0.50232124  0.50049675  0.50933838  0.48278114  0.46734485  0.47557729]] 
1.0 0.0 -0.13330043852329254 [[ 0.51172394  0.50275987  0.45789918  0.47716063  0.48457626  0.49633491 0.52319056  0.46486872  0.46921533  0.46179333  0.50915527  0.47715238 0.4613241   0.4952088   0.51260203  0.49498966  0.48056319  0.50062048 0.49519196  0.49799427  0.50650263  0.47979143  0.47536096  0.48301858]] 
1.015457272529602 -0.012594684027135372 -0.38329964876174927 [[ 0.5032227   0.49483812  0.46639839  0.49017563  0.47287676  0.50550514 0.51448017  0.46569967  0.47570106  0.44957128  0.50025553  0.4839797 0.46691546  0.5009107   0.51298642  0.48358554  0.47061533  0.50445026 0.49445891  0.50050414  0.48870677  0.47445413  0.47733665  0.48574251]] 
1.4500935077667236 -0.2607349157333374 -0.6332995295524597 [[ 0.50533259  0.49709356  0.46382931  0.48777041  0.47910208  0.49449909 0.51265663  0.46532893  0.48397788  0.46713835  0.50580925  0.48104283 0.47428364  0.49429777  0.51219237  0.49200109  0.4815301   0.49516848 0.49039918  0.5005073   0.49014613  0.48676974  0.48898727  0.49374393]] 
1.8482277393341064 -0.5633149147033691 -0.6499660015106201 [[ 0.50248188  0.48711991  0.46118665  0.49690771  0.48398986  0.48821554 0.51116031  0.4717344   0.47967154  0.47473845  0.50222737  0.48102504 0.47068587  0.50398761  0.51089978  0.49489722  0.48920882  0.49501318 0.49269614  0.49008524  0.50287056  0.48560745  0.49452391  0.49718493]] 
2.206475019454956 -0.8356369137763977 -0.6499660015106201 [[ 0.49383354  0.49582148  0.46745554  0.48535004  0.47579286  0.48640078 0.51288742  0.4635286   0.4829272   0.47632885  0.50285542  0.48435974 0.47812554  0.50415158  0.5032391   0.49761656  0.48482454  0.49904951 0.48819849  0.49607027  0.49684712  0.48317906  0.49253279  0.48368487]] 
2.5192573070526123 -1.099860429763794 -0.8582988381385803 [[ 0.50029665  0.49869737  0.4687956   0.49143681  0.4827978   0.48695686 0.51936299  0.4717218   0.48636347  0.47522339  0.50856674  0.48738641 0.47863278  0.50562972  0.50704235  0.49421471  0.48855078  0.50139773 0.49369341  0.49599007  0.50181937  0.48703852  0.49218133  0.48460454]] 
2.5192573070526123 -1.099860429763794 -1.1582975387573242 [[ 0.51555717  0.5082528   0.47524497  0.4888027   0.48828423  0.49414366 0.50729245  0.46925429  0.4743312   0.47049752  0.50351077  0.4917331 0.47703794  0.48658261  0.50122184  0.50085223  0.48897308  0.50234956 0.49196219  0.50061214  0.48768401  0.49003732  0.47983366  0.49314058]] 
2.573178291320801 -1.3267426490783691 -1.4082962274551392 [[ 0.51950908  0.50165623  0.47705862  0.47919896  0.50036043  0.48991433 0.51446462  0.46033651  0.47400573  0.48178828  0.51128536  0.48784941 0.47508064  0.47925812  0.49985904  0.50812143  0.49084315  0.49632645 0.49845853  0.49839109  0.49651206  0.4941889   0.47709534  0.49383882]] 
2.570404052734375 -1.6762700080871582 -1.6582953929901123 [[ 0.52386916  0.50387365  0.47268209  0.47949255  0.50376612  0.48844507 0.52770734  0.45962495  0.47753337  0.48343775  0.52340835  0.48692209 0.47565451  0.47731909  0.4975498   0.49358678  0.50681174  0.4955574 0.51422995  0.49513051  0.49481469  0.49873662  0.48001257  0.49278885]] 
2.4950997829437256 -2.0329649448394775 -1.908294677734375 [[ 0.50195956  0.48915216  0.45668045  0.47079647  0.5106461   0.47812399 0.53412044  0.4336974   0.46850598  0.46336159  0.51285392  0.49273103 0.45057508  0.49098411  0.48852974  0.48917651  0.49779001  0.5062955 0.5022108   0.50167727  0.5011915   0.51063442  0.48177907  0.48237428]] 
2.2707295417785645 -2.4764564037323 -2.1582932472229004 [[ 0.48768449  0.48298833  0.44839534  0.461151    0.47209784  0.47489339 0.52743798  0.44527274  0.46578103  0.44766578  0.50873947  0.47903872 0.45110479  0.49690348  0.51145947  0.48523477  0.47582012  0.49412677 0.49018866  0.49840158  0.51266974  0.48809654  0.47546631  0.468871  ]] 
1.9431471824645996 -2.849733829498291 -2.4082934856414795 [[ 0.49379382  0.48807448  0.43885636  0.47738379  0.47671616  0.48211002 0.51886421  0.44623101  0.46234336  0.45977601  0.502002    0.483751 0.45459548  0.50331438  0.52805632  0.49922746  0.47267148  0.49242225 0.46836981  0.49059367  0.50046057  0.48148063  0.48280692  0.47234979]] 
1.5327190160751343 -3.129589080810547 -2.658294200897217 [[ 0.50507426  0.49686033  0.45210838  0.51068503  0.45968315  0.47478011 0.50869483  0.45231682  0.46337196  0.45746845  0.51372337  0.49028918 0.4606514   0.50327855  0.52555823  0.51730257  0.47427115  0.51249677 0.47600469  0.48484987  0.51510727  0.47124746  0.47864792  0.48017919]] 
1.0649642944335938 -3.2986221313476562 -2.908294439315796 [[ 0.50506932  0.49591529  0.47146767  0.48705563  0.47812968  0.49993992 0.48553368  0.44754013  0.45235372  0.46436828  0.47746462  0.48458531 0.46065763  0.47764462  0.51722825  0.51161903  0.46327835  0.49973121 0.4657394   0.5209406   0.51242274  0.48053291  0.46922201  0.48225906]] 
0.8498551249504089 -3.3110384941101074 3.124891519546509 [[ 0.50259441  0.46660605  0.45758215  0.49241948  0.49906683  0.47929013 0.49929085  0.45019102  0.44901812  0.45912522  0.46854088  0.48922625 0.46006238  0.47504696  0.50373662  0.51127207  0.47061902  0.49145848 0.48478332  0.48819152  0.49810016  0.50920767  0.46699771  0.47469831]] 
